Date,Channel,Campaign_ID,Spend,Clicks,Impressions,Leads,Purchases,Revenue,Sessions,ConversionRate,CTR,CPM,CPC,CAC,ROAS,LTV_Est,Workflow_ID,Timestamp,KPI_Version,Health_Score
2025-11-20,Meta,BlackFriday,345.81,893,13395,41,48,1296.15,899,0.053,0.067,25.82,0.39,7.2,3.75,27.0,mock-gen,2025-11-27T20:28:29.651061,1.0,🟢
2025-11-20,Google,Summer2024,313.0,732,4392,16,26,395.51,732,0.036,0.167,71.27,0.43,12.04,1.26,15.17,mock-gen,2025-11-27T20:28:29.651077,1.0,🔴
2025-11-20,CRM,Retargeting,253.78,466,4660,11,32,347.41,481,0.067,0.1,54.46,0.54,7.93,1.37,10.86,mock-gen,2025-11-27T20:28:29.651090,1.0,🔴
2025-11-19,Meta,BlackFriday,273.7,344,3784,35,33,464.99,355,0.093,0.091,72.33,0.8,8.29,1.7,14.09,mock-gen,2025-11-27T20:28:29.651103,1.0,🟡
2025-11-19,Google,Summer2024,452.73,904,13560,49,41,756.33,928,0.044,0.067,33.39,0.5,11.04,1.67,18.44,mock-gen,2025-11-27T20:28:29.651119,1.0,🟡
2025-11-19,CRM,Retargeting,247.51,120,1080,39,33,408.87,83,0.398,0.111,229.18,2.06,7.5,1.65,12.38,mock-gen,2025-11-27T20:28:29.651143,1.0,🟡
2025-11-18,Meta,BlackFriday,274.52,333,1665,21,48,1695.62,316,0.152,0.2,164.88,0.82,5.72,6.18,35.35,mock-gen,2025-11-27T20:28:29.651164,1.0,🟢
2025-11-18,Google,Summer2024,151.69,800,8800,63,46,874.45,758,0.061,0.091,17.24,0.19,3.3,5.76,19.01,mock-gen,2025-11-27T20:28:29.651177,1.0,🟢
2025-11-18,CRM,Retargeting,327.05,166,1328,50,13,344.93,176,0.074,0.125,246.27,1.97,25.16,1.05,26.42,mock-gen,2025-11-27T20:28:29.651190,1.0,🔴
2025-11-17,Meta,BlackFriday,362.89,595,4165,22,16,209.79,548,0.029,0.143,87.13,0.61,22.68,0.58,13.15,mock-gen,2025-11-27T20:28:29.651204,1.0,🔴
2025-11-17,Google,Summer2024,409.16,381,1905,51,28,311.22,363,0.077,0.2,214.78,1.07,14.61,0.76,11.1,mock-gen,2025-11-27T20:28:29.651218,1.0,🔴
2025-11-17,CRM,Retargeting,372.5,431,2586,25,44,1866.01,407,0.108,0.167,144.04,0.86,8.47,5.01,42.43,mock-gen,2025-11-27T20:28:29.651243,1.0,🟢
2025-11-16,Meta,BlackFriday,370.48,371,2968,31,11,249.84,356,0.031,0.125,124.82,1.0,33.68,0.67,22.57,mock-gen,2025-11-27T20:28:29.651261,1.0,🔴
2025-11-16,Google,Summer2024,395.14,179,1074,74,6,228.48,160,0.037,0.167,367.91,2.21,65.86,0.58,38.2,mock-gen,2025-11-27T20:28:29.651314,1.0,🔴
2025-11-16,CRM,Retargeting,140.67,485,3880,96,24,790.08,481,0.05,0.125,36.26,0.29,5.86,5.62,32.93,mock-gen,2025-11-27T20:28:29.651337,1.0,🟢
2025-11-15,Meta,BlackFriday,344.79,931,13034,84,47,1596.38,909,0.052,0.071,26.45,0.37,7.34,4.63,33.98,mock-gen,2025-11-27T20:28:29.651360,1.0,🟢
2025-11-15,Google,Summer2024,342.69,882,5292,78,6,110.05,924,0.006,0.167,64.76,0.39,57.12,0.32,18.28,mock-gen,2025-11-27T20:28:29.651382,1.0,🔴
2025-11-15,CRM,Retargeting,460.67,266,3192,51,25,982.73,310,0.081,0.083,144.32,1.73,18.43,2.13,39.26,mock-gen,2025-11-27T20:28:29.651413,1.0,🟡
2025-11-14,Meta,BlackFriday,425.62,203,2639,21,28,1035.21,175,0.16,0.077,161.28,2.1,15.2,2.43,36.94,mock-gen,2025-11-27T20:28:29.651439,1.0,🟡
2025-11-14,Google,Summer2024,456.32,289,2312,30,37,1258.81,316,0.117,0.125,197.37,1.58,12.33,2.76,34.03,mock-gen,2025-11-27T20:28:29.651454,1.0,🟡
2025-11-14,CRM,Retargeting,274.57,741,10374,58,31,546.29,705,0.044,0.071,26.47,0.37,8.86,1.99,17.63,mock-gen,2025-11-27T20:28:29.651468,1.0,🟡
2025-11-13,Meta,BlackFriday,218.13,137,1644,84,5,94.54,96,0.052,0.083,132.68,1.59,43.63,0.43,18.76,mock-gen,2025-11-27T20:28:29.651491,1.0,🔴
2025-11-13,Google,Summer2024,302.59,507,3549,49,6,112.54,501,0.012,0.143,85.26,0.6,50.43,0.37,18.66,mock-gen,2025-11-27T20:28:29.651504,1.0,🔴
2025-11-13,CRM,Retargeting,252.62,175,2100,38,23,747.14,130,0.177,0.083,120.3,1.44,10.98,2.96,32.5,mock-gen,2025-11-27T20:28:29.651518,1.0,🟡
